Date,Time,Open,High,Low,Close
9/10/2007,10:00,5,1200,5,99
9/10/2007,10:30,97,121,-716,-716
9/10/2007,11:00,-716,-716,-1424,-1263
9/10/2007,11:30,-1261,-1241,-1690,-1616
9/10/2007,12:00,-1618,-1462,-1695,-1476
9/10/2007,12:30,-1476,-1341,-1592,-1365
9/10/2007,13:00,-1365,-1308,-1545,-1467
9/10/2007,13:30,-1468,-1246,-1523,-1248
9/10/2007,14:00,-1249,-1057,-1293,-1241
9/10/2007,14:30,-1241,-902,-1391,-909
9/10/2007,15:00,-907,-602,-907,-743
9/10/2007,15:30,-740,203,-870,-84
9/10/2007,16:00,-84,-33,-817,-795
9/11/2007,10:00,0,1622,0,1473
9/11/2007,10:30,1475,1581,1111,1452
9/11/2007,11:00,1454,1470,1319,1337
9/11/2007,11:30,1339,1352,1072,1204
9/11/2007,12:00,1203,1245,992,995
9/11/2007,12:30,995,1034,794,998
9/11/2007,13:00,998,1201,942,1077
9/11/2007,13:30,1075,1125,886,1033
9/11/2007,14:00,1029,1157,950,1089
9/11/2007,14:30,1087,1397,1071,1397
9/11/2007,15:00,1394,1409,1301,1379
9/11/2007,15:30,1384,1530,1333,1472
9/11/2007,16:00,1471,1537,1144,1482
9/12/2007,10:00,-3,-3,-1152,-398
9/12/2007,10:30,-396,-385,-823,-479
9/12/2007,11:00,-480,-125,-639,-597
9/12/2007,11:30,-597,20,-642,-114
9/12/2007,12:00,-112,-82,-297,-257
9/12/2007,12:30,-256,-49,-485,-451
9/12/2007,13:00,-453,-356,-577,-421
9/12/2007,13:30,-421,-411,-801,-606
9/12/2007,14:00,-606,-233,-681,-272
9/12/2007,14:30,-272,107,-357,-246
9/12/2007,15:00,-247,-95,-306,-150
9/12/2007,15:30,-137,-115,-613,-613
9/12/2007,16:00,-614,-459,-785,-681
9/13/2007,10:00,0,1151,0,329
9/13/2007,10:30,331,583,133,460
9/13/2007,11:00,460,887,430,808
9/13/2007,11:30,803,878,665,838
9/13/2007,12:00,839,858,632,770
9/13/2007,12:30,769,839,603,816
9/13/2007,13:00,815,836,736,775
9/13/2007,13:30,774,1200,771,1153
9/13/2007,14:00,1152,1165,1030,1039
9/13/2007,14:30,1038,1101,871,879
9/13/2007,15:00,879,1023,866,962
9/13/2007,15:30,960,1047,764,844
9/13/2007,16:00,845,871,350,478
9/14/2007,10:00,-7,-7,-1650,-1212
9/14/2007,10:30,-1210,-407,-1212,-483
9/14/2007,11:00,-491,-99,-493,-423
9/14/2007,11:30,-418,-320,-764,-567
9/14/2007,12:00,-569,79,-589,-32
9/14/2007,12:30,-29,157,-160,-106
9/14/2007,13:00,-107,-54,-289,-258
9/14/2007,13:30,-259,132,-316,128
9/14/2007,14:00,127,243,-110,223
9/14/2007,14:30,223,270,-39,68
9/14/2007,15:00,68,171,-350,-236
9/14/2007,15:30,-236,106,-237,74
9/14/2007,16:00,69,365,-39,224
9/17/2007,10:00,-5,-5,-1125,-1004
9/17/2007,10:30,-1005,-797,-1141,-1135
9/17/2007,11:00,-1132,-1118,-1441,-1335
9/17/2007,11:30,-1335,-1219,-1400,-1379
9/17/2007,12:00,-1379,-1375,-1520,-1473
9/17/2007,12:30,-1475,-1376,-1549,-1376
9/17/2007,13:00,-1378,-1155,-1385,-1155
9/17/2007,13:30,-1155,-1109,-1240,-1196
9/17/2007,14:00,-1195,-1157,-1337,-1294
9/17/2007,14:30,-1298,-1190,-1380,-1192
9/17/2007,15:00,-1193,-1095,-1274,-1204
9/17/2007,15:30,-1204,-854,-1273,-1001
9/17/2007,16:00,-1007,-1007,-1291,-1255
9/18/2007,10:00,3,1353,3,751
9/18/2007,10:30,754,1138,745,1133
9/18/2007,11:00,1134,1373,1095,1348
9/18/2007,11:30,1348,1588,1246,1466
9/18/2007,12:00,1465,1552,1450,1529
9/18/2007,12:30,1528,1549,1362,1372
9/18/2007,13:00,1372,1483,1365,1376
9/18/2007,13:30,1372,1402,1184,1363
9/18/2007,14:00,1364,1510,1357,1496
9/18/2007,14:30,1499,2296,1201,2260
9/18/2007,15:00,2262,2515,2262,2509
9/18/2007,15:30,2510,2628,2463,2623
9/18/2007,16:00,2623,2710,2604,2690
9/19/2007,10:00,3,1675,3,1567
9/19/2007,10:30,1567,1584,1429,1469
9/19/2007,11:00,1467,1480,1350,1458
9/19/2007,11:30,1456,1586,1452,1562
9/19/2007,12:00,1563,1570,1352,1385
9/19/2007,12:30,1386,1409,1279,1313
9/19/2007,13:00,1312,1328,1200,1258
9/19/2007,13:30,1253,1253,1049,1064
9/19/2007,14:00,1064,1129,1006,1030
9/19/2007,14:30,1031,1031,667,811
9/19/2007,15:00,812,971,798,939
9/19/2007,15:30,938,1044,876,1006
9/19/2007,16:00,1006,1030,853,1012
9/20/2007,10:00,-6,-4,-1185,-710
9/20/2007,10:30,-714,-201,-753,-417
9/20/2007,11:00,-415,-407,-682,-607
9/20/2007,11:30,-612,-411,-645,-602
9/20/2007,12:00,-602,-567,-769,-619
9/20/2007,12:30,-617,-431,-687,-681
9/20/2007,13:00,-685,-679,-776,-694
9/20/2007,13:30,-694,-684,-965,-942
9/20/2007,14:00,-941,-802,-1004,-900
9/20/2007,14:30,-898,-874,-1141,-1119
9/20/2007,15:00,-1118,-1118,-1424,-1374
9/20/2007,15:30,-1374,-1219,-1526,-1284
9/20/2007,16:00,-1284,-1156,-1383,-1369
9/21/2007,10:00,6,1589,6,1028
9/21/2007,10:30,1029,1212,957,978
9/21/2007,11:00,981,1034,937,1001
9/21/2007,11:30,1006,1234,1001,1230
9/21/2007,12:00,1232,1253,1147,1201
9/21/2007,12:30,1203,1217,1118,1158
9/21/2007,13:00,1157,1332,1155,1175
9/21/2007,13:30,1176,1223,1107,1130
9/21/2007,14:00,1129,1185,986,990
9/21/2007,14:30,990,1030,893,956
9/21/2007,15:00,956,1053,791,892
9/21/2007,15:30,887,1004,819,892
9/21/2007,16:00,900,959,756,842
9/24/2007,10:00,3,179,-389,-361
9/24/2007,10:30,-365,352,-492,352
9/24/2007,11:00,358,423,-12,135
9/24/2007,11:30,134,286,-29,95
9/24/2007,12:00,93,130,-48,59
9/24/2007,12:30,57,176,-2,135
9/24/2007,13:00,136,137,-91,-47
9/24/2007,13:30,-46,-42,-556,-503
9/24/2007,14:00,-503,-496,-732,-653
9/24/2007,14:30,-653,-543,-801,-801
9/24/2007,15:00,-804,-699,-843,-716
9/24/2007,15:30,-715,-640,-873,-662
9/24/2007,16:00,-662,-646,-842,-762
9/25/2007,10:00,-9,-9,-1702,-1482
9/25/2007,10:30,-1485,-899,-1642,-1035
9/25/2007,11:00,-1040,-728,-1100,-1025
9/25/2007,11:30,-1027,-803,-1104,-1062
9/25/2007,12:00,-1063,-979,-1168,-1035
9/25/2007,12:30,-1035,-905,-1081,-920
9/25/2007,13:00,-919,-810,-1014,-868
9/25/2007,13:30,-866,-671,-926,-685
9/25/2007,14:00,-683,-655,-915,-801
9/25/2007,14:30,-800,-784,-941,-849
9/25/2007,15:00,-849,-590,-876,-594
9/25/2007,15:30,-591,-522,-783,-695
9/25/2007,16:00,-697,-559,-867,-567
9/26/2007,10:00,3,1409,3,1019
9/26/2007,10:30,1018,1280,969,1032
9/26/2007,11:00,1032,1032,742,807
9/26/2007,11:30,807,1131,806,1026
9/26/2007,12:00,1027,1054,949,960
9/26/2007,12:30,960,1004,879,907
9/26/2007,13:00,907,925,776,793
9/26/2007,13:30,793,867,755,760
9/26/2007,14:00,765,767,156,228
9/26/2007,14:30,226,559,221,459
9/26/2007,15:00,456,629,403,548
9/26/2007,15:30,548,984,514,924
9/26/2007,16:00,923,984,726,811
9/27/2007,10:00,2,1390,2,930
9/27/2007,10:30,917,1139,696,960
9/27/2007,11:00,962,1131,760,991
9/27/2007,11:30,989,997,579,629
9/27/2007,12:00,628,747,598,619
9/27/2007,12:30,625,789,583,727
9/27/2007,13:00,726,815,716,726
9/27/2007,13:30,725,832,710,775
9/27/2007,14:00,777,802,610,712
9/27/2007,14:30,710,1010,696,950
9/27/2007,15:00,952,965,703,870
9/27/2007,15:30,872,1067,859,974
9/27/2007,16:00,970,1073,888,1028
9/28/2007,10:00,2,557,-42,384
9/28/2007,10:30,382,583,-454,-438
9/28/2007,11:00,-446,-437,-768,-439
9/28/2007,11:30,-441,-194,-494,-310
9/28/2007,12:00,-309,-237,-421,-343
9/28/2007,12:30,-343,-311,-483,-418
9/28/2007,13:00,-417,-291,-423,-318
9/28/2007,13:30,-319,-103,-354,-138
9/28/2007,14:00,-139,73,-147,69
9/28/2007,14:30,68,188,-243,-241
9/28/2007,15:00,-243,-195,-427,-312
9/28/2007,15:30,-315,-288,-651,-508
9/28/2007,16:00,-507,-314,-518,-358
10/1/2007,10:00,1,1368,-1,1254
10/1/2007,10:30,1254,1546,1253,1409
10/1/2007,11:00,1410,1453,1346,1392
10/1/2007,11:30,1392,1408,1278,1283
10/1/2007,12:00,1283,1554,1281,1540
10/1/2007,12:30,1542,1606,1510,1570
10/1/2007,13:00,1572,1572,1522,1533
