Date,Profit/Loss,equity,returnPerc
5/30/2013 0:00,-14000,86000,0.005625
6/7/2013 0:00,-24200,61800,-0.281395349
6/24/2013 0:00,-11200,50600,-0.181229773
6/28/2013 0:00,-13800,36800,-0.272727273
7/31/2013 0:00,86000,122800,2.336956522
8/1/2013 0:00,-28600,94200,-0.232899023
8/8/2013 0:00,-44900,49300,-0.476645435
8/13/2013 0:00,-34300,15000,-0.695740365
8/22/2013 0:00,-16600,-1600,-1.106666667
8/26/2013 0:00,-8900,-10500,5.5625
9/17/2013 0:00,-5000,-15500,0.476190476
12/4/2013 0:00,84700,69200,-5.464516129
1/3/2014 0:00,-35300,33900,-0.510115607
1/23/2014 0:00,-32200,1700,-0.949852507
3/11/2014 0:00,30400,32100,17.88235294
3/27/2014 0:00,-20700,11400,-0.644859813
4/28/2014 0:00,4900,16300,0.429824561
5/14/2014 0:00,-15300,1000,-0.938650307
7/3/2014 0:00,25500,26500,25.5
7/23/2014 0:00,-2400,24100,-0.090566038
7/29/2014 0:00,-21500,2600,-0.892116183
9/4/2014 0:00,44900,47500,17.26923077
9/5/2014 0:00,-11600,35900,-0.244210526
9/18/2014 0:00,900,36800,0.025069638
9/19/2014 0:00,-3300,33500,-0.089673913
9/25/2014 0:00,-8800,24700,-0.262686567
10/2/2014 0:00,-15200,9500,-0.615384615
2/3/2015 0:00,380400,389900,40.04210526
2/24/2015 0:00,-44500,345400,-0.114131829
3/5/2015 0:00,-14800,330600,-0.042848871
3/6/2015 0:00,-11500,319100,-0.034785239
3/27/2015 0:00,27300,346400,0.085553118
5/20/2015 0:00,77500,423900,0.223729792
6/3/2015 0:00,-6600,417300,-0.01556971
6/5/2015 0:00,-5100,412200,-0.012221423
6/10/2015 0:00,-23000,389200,-0.055798156
6/26/2015 0:00,-22100,367100,-0.056783145
9/1/2015 0:00,150800,517900,0.410787251
9/28/2015 0:00,-12800,505100,-0.024715196
10/5/2015 0:00,-18300,486800,-0.036230449
10/20/2015 0:00,-5200,481600,-0.010682005
11/4/2015 0:00,-300,481300,-0.000622924
11/6/2015 0:00,-20300,461000,-0.042177436
2/1/2016 0:00,159200,620200,0.345336226
2/2/2016 0:00,-17400,602800,-0.028055466
2/26/2016 0:00,-7400,595400,-0.012276045
3/31/2016 0:00,41000,636400,0.06886127
4/12/2016 0:00,-38300,598100,-0.060182275
6/15/2016 0:00,38100,636200,0.063701722
8/12/2016 0:00,47500,683700,0.074662056
9/1/2016 0:00,-20600,663100,-0.030130174
9/29/2016 0:00,-40600,622500,-0.061227567
10/27/2016 0:00,14600,637100,0.023453815
11/22/2016 0:00,22200,659300,0.034845393
1/10/2017 0:00,17200,676500,0.026088275
2/2/2017 0:00,-19400,657100,-0.028677014
2/8/2017 0:00,-12000,645100,-0.018262061
2/13/2017 0:00,-5900,639200,-0.009145869
3/3/2017 0:00,100,639300,0.000156446
4/3/2017 0:00,35800,675100,0.055998749
4/21/2017 0:00,-10800,664300,-0.01599763
5/18/2017 0:00,3000,667300,0.004516032
6/1/2017 0:00,-13000,654300,-0.019481493
7/3/2017 0:00,15100,669400,0.023078099
8/15/2017 0:00,2700,672100,0.004033463
9/6/2017 0:00,-14600,657500,-0.021722958
10/6/2017 0:00,-4200,653300,-0.006387833
10/13/2017 0:00,-21600,631700,-0.033062911
12/7/2017 0:00,48200,679900,0.076302042
12/11/2017 0:00,-13000,666900,-0.019120459
12/14/2017 0:00,-9500,657400,-0.014245014
12/19/2017 0:00,-4800,652600,-0.007301491
2/7/2018 0:00,42800,695400,0.065583819
2/26/2018 0:00,-22900,672500,-0.032930687
3/2/2018 0:00,-26600,645900,-0.039553903
3/6/2018 0:00,-13500,632400,-0.020901068
3/8/2018 0:00,-24800,607600,-0.039215686
3/20/2018 0:00,-33600,574000,-0.055299539
4/6/2018 0:00,-14800,559200,-0.025783972
4/11/2018 0:00,-47600,511600,-0.085121602
5/29/2018 0:00,-1600,510000,-0.003127443
6/25/2018 0:00,-15600,494400,-0.030588235
7/16/2018 0:00,-200,494200,-0.000404531
7/31/2018 0:00,-16200,478000,-0.032780251
8/1/2018 0:00,-11000,467000,-0.023012552
8/24/2018 0:00,-16400,450600,-0.035117773
10/12/2018 0:00,28500,479100,0.063249001
1/8/2019 0:00,219700,698800,0.458568149
2/11/2019 0:00,23900,722700,0.034201488
2/13/2019 0:00,-14900,707800,-0.02061713
5/1/2019 0:00,89000,796800,0.125741735
5/20/2019 0:00,5800,802600,0.007279116
5/23/2019 0:00,-53000,749600,-0.066035385
6/21/2019 0:00,7200,756800,0.009605123
7/18/2019 0:00,-21500,735300,-0.028409091
8/20/2019 0:00,-7600,727700,-0.010335917
8/26/2019 0:00,-24900,702800,-0.034217397
8/29/2019 0:00,-30700,672100,-0.043682413
9/4/2019 0:00,-4500,667600,-0.006695432
9/5/2019 0:00,-400,667200,-0.000599161
9/26/2019 0:00,3500,670700,0.005245803
10/23/2019 0:00,5400,676100,0.00805129
12/2/2019 0:00,-1200,674900,-0.001774885
12/5/2019 0:00,-24700,650200,-0.036598015
1/10/2020 0:00,6800,657000,0.010458321
2/20/2020 0:00,54400,711400,0.082800609
2/25/2020 0:00,-39800,671600,-0.055946022
5/6/2020 0:00,319500,991100,0.475729601
7/31/2020 0:00,155500,1146600,0.156896378
8/5/2020 0:00,-19200,1127400,-0.01674516
9/3/2020 0:00,-11000,1116400,-0.009756963
9/28/2020 0:00,10200,1126600,0.00913651
9/30/2020 0:00,-3800,1122800,-0.003372981
10/8/2020 0:00,-9700,1113100,-0.008639116
10/26/2020 0:00,-29100,1084000,-0.026143204
11/10/2020 0:00,-28000,1056000,-0.025830258
3/19/2021 0:00,195500,1251500,0.185132576
4/15/2021 0:00,-20200,1231300,-0.016140631
5/20/2021 0:00,-15800,1215500,-0.012831966
5/25/2021 0:00,-41300,1174200,-0.033977787
7/16/2021 0:00,60200,1234400,0.051268949
7/29/2021 0:00,-20600,1213800,-0.01668827
8/4/2021 0:00,-54700,1159100,-0.045065085
8/30/2021 0:00,-13100,1146000,-0.011301872
11/5/2021 0:00,128500,1274500,0.112129145
11/10/2021 0:00,-700,1273800,-0.000549235
11/12/2021 0:00,-5500,1268300,-0.004317789
12/23/2021 0:00,57700,1326000,0.045493968
3/16/2022 0:00,236000,1562000,0.177978884
3/22/2022 0:00,-155600,1406400,-0.099615877
4/1/2022 0:00,-100000,1306400,-0.071103527
4/18/2022 0:00,-89100,1217300,-0.068202694
4/26/2022 0:00,-59100,1158200,-0.04855007
4/29/2022 0:00,-29900,1128300,-0.025815921
6/21/2022 0:00,98200,1226500,0.08703359
8/24/2022 0:00,111900,1338400,0.091235222
9/1/2022 0:00,-82800,1255600,-0.061864913
10/5/2022 0:00,-16000,1239600,-0.012742912
10/19/2022 0:00,-23100,1216500,-0.018635044
10/27/2022 0:00,-45600,1170900,-0.037484587
11/15/2022 0:00,-21600,1149300,-0.018447348
12/22/2022 0:00,88800,1238100,0.077264422
1/5/2023 0:00,-38200,1199900,-0.030853727
1/13/2023 0:00,-61900,1138000,-0.051587632
2/1/2023 0:00,-37200,1100800,-0.032688928
2/13/2023 0:00,-37300,1063500,-0.033884448
2/20/2023 0:00,-29700,1033800,-0.027926657
3/3/2023 0:00,-22700,1011100,-0.021957825
3/10/2023 0:00,-30000,981100,-0.029670656
