#,closedDate,Profit/Loss,equity,returnPerc,Date
1.0,2013-05-30 00:00:00,-14000.0,86000.0,0.005625,2013-05-30 00:00:00
2.0,2013-06-07 00:00:00,-24200.0,61800.0,-0.2813953488372093,2013-06-07 00:00:00
3.0,2013-06-24 00:00:00,-11200.0,50600.0,-0.18122977346278313,2013-06-24 00:00:00
4.0,2013-06-28 00:00:00,-13800.0,36800.0,-0.2727272727272727,2013-06-28 00:00:00
5.0,2013-07-31 00:00:00,86000.0,122800.0,2.3369565217391304,2013-07-31 00:00:00
6.0,2013-08-01 00:00:00,-28600.0,94200.0,-0.23289902280130292,2013-08-01 00:00:00
7.0,2013-08-08 00:00:00,-44900.0,49300.0,-0.47664543524416136,2013-08-08 00:00:00
8.0,2013-08-13 00:00:00,-34300.0,15000.0,-0.6957403651115619,2013-08-13 00:00:00
9.0,2013-08-22 00:00:00,-16600.0,-1600.0,-1.1066666666666667,2013-08-22 00:00:00
10.0,2013-08-26 00:00:00,-8900.0,-10500.0,5.5625,2013-08-26 00:00:00
11.0,2013-09-17 00:00:00,-5000.0,-15500.0,0.4761904761904763,2013-09-17 00:00:00
12.0,2013-12-04 00:00:00,84700.0,69200.0,-5.464516129032258,2013-12-04 00:00:00
13.0,2014-01-03 00:00:00,-35300.0,33900.0,-0.5101156069364161,2014-01-03 00:00:00
14.0,2014-01-23 00:00:00,-32200.0,1700.0,-0.9498525073746312,2014-01-23 00:00:00
15.0,2014-03-11 00:00:00,30400.0,32100.0,17.88235294117647,2014-03-11 00:00:00
16.0,2014-03-27 00:00:00,-20700.0,11400.0,-0.6448598130841121,2014-03-27 00:00:00
17.0,2014-04-28 00:00:00,4900.0,16300.0,0.4298245614035088,2014-04-28 00:00:00
18.0,2014-05-14 00:00:00,-15300.0,1000.0,-0.9386503067484663,2014-05-14 00:00:00
19.0,2014-07-03 00:00:00,25500.0,26500.0,25.5,2014-07-03 00:00:00
20.0,2014-07-23 00:00:00,-2400.0,24100.0,-0.09056603773584904,2014-07-23 00:00:00
21.0,2014-07-29 00:00:00,-21500.0,2600.0,-0.892116182572614,2014-07-29 00:00:00
22.0,2014-09-04 00:00:00,44900.0,47500.0,17.26923076923077,2014-09-04 00:00:00
23.0,2014-09-05 00:00:00,-11600.0,35900.0,-0.24421052631578943,2014-09-05 00:00:00
24.0,2014-09-18 00:00:00,900.0,36800.0,0.025069637883008422,2014-09-18 00:00:00
25.0,2014-09-19 00:00:00,-3300.0,33500.0,-0.08967391304347827,2014-09-19 00:00:00
26.0,2014-09-25 00:00:00,-8800.0,24700.0,-0.26268656716417915,2014-09-25 00:00:00
27.0,2014-10-02 00:00:00,-15200.0,9500.0,-0.6153846153846154,2014-10-02 00:00:00
28.0,2015-02-03 00:00:00,380400.0,389900.0,40.04210526315789,2015-02-03 00:00:00
29.0,2015-02-24 00:00:00,-44500.0,345400.0,-0.11413182867401894,2015-02-24 00:00:00
30.0,2015-03-05 00:00:00,-14800.0,330600.0,-0.04284887087434863,2015-03-05 00:00:00
31.0,2015-03-06 00:00:00,-11500.0,319100.0,-0.03478523895946761,2015-03-06 00:00:00
32.0,2015-03-27 00:00:00,27300.0,346400.0,0.08555311814478217,2015-03-27 00:00:00
33.0,2015-05-20 00:00:00,77500.0,423900.0,0.22372979214780608,2015-05-20 00:00:00
34.0,2015-06-03 00:00:00,-6600.0,417300.0,-0.01556970983722572,2015-06-03 00:00:00
35.0,2015-06-05 00:00:00,-5100.0,412200.0,-0.012221423436376666,2015-06-05 00:00:00
36.0,2015-06-10 00:00:00,-23000.0,389200.0,-0.055798156234837415,2015-06-10 00:00:00
37.0,2015-06-26 00:00:00,-22100.0,367100.0,-0.05678314491264136,2015-06-26 00:00:00
38.0,2015-09-01 00:00:00,150800.0,517900.0,0.41078725143012806,2015-09-01 00:00:00
39.0,2015-09-28 00:00:00,-12800.0,505100.0,-0.02471519598378069,2015-09-28 00:00:00
40.0,2015-10-05 00:00:00,-18300.0,486800.0,-0.03623044941595721,2015-10-05 00:00:00
41.0,2015-10-20 00:00:00,-5200.0,481600.0,-0.010682004930156141,2015-10-20 00:00:00
42.0,2015-11-04 00:00:00,-300.0,481300.0,-0.0006229235880398365,2015-11-04 00:00:00
43.0,2015-11-06 00:00:00,-20300.0,461000.0,-0.04217743611053393,2015-11-06 00:00:00
44.0,2016-02-01 00:00:00,159200.0,620200.0,0.3453362255965293,2016-02-01 00:00:00
45.0,2016-02-02 00:00:00,-17400.0,602800.0,-0.028055465978716554,2016-02-02 00:00:00
46.0,2016-02-26 00:00:00,-7400.0,595400.0,-0.012276045122760482,2016-02-26 00:00:00
47.0,2016-03-31 00:00:00,41000.0,636400.0,0.06886126973463225,2016-03-31 00:00:00
48.0,2016-04-12 00:00:00,-38300.0,598100.0,-0.060182275298554355,2016-04-12 00:00:00
49.0,2016-06-15 00:00:00,38100.0,636200.0,0.06370172212004688,2016-06-15 00:00:00
50.0,2016-08-12 00:00:00,47500.0,683700.0,0.07466205595724618,2016-08-12 00:00:00
51.0,2016-09-01 00:00:00,-20600.0,663100.0,-0.030130174052947156,2016-09-01 00:00:00
52.0,2016-09-29 00:00:00,-40600.0,622500.0,-0.061227567486050405,2016-09-29 00:00:00
53.0,2016-10-27 00:00:00,14600.0,637100.0,0.023453815261044175,2016-10-27 00:00:00
54.0,2016-11-22 00:00:00,22200.0,659300.0,0.03484539318788249,2016-11-22 00:00:00
55.0,2017-01-10 00:00:00,17200.0,676500.0,0.026088275443652442,2017-01-10 00:00:00
56.0,2017-02-02 00:00:00,-19400.0,657100.0,-0.02867701404286771,2017-02-02 00:00:00
57.0,2017-02-08 00:00:00,-12000.0,645100.0,-0.01826206056916757,2017-02-08 00:00:00
