"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
03/27/2013,17:00,106.41,107.07,105.81,106.81,207777,299530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/28/2013,17:00,106.91,107.58,106.49,107.46,157487,299530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03/29/2013,17:00,107.46,107.46,107.46,107.46,174390,296042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/01/2013,17:00,107.59,108.03,106.15,107.30,192396,287432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/02/2013,17:00,107.23,107.67,106.14,107.42,209877,280499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/03/2013,17:00,107.16,107.19,104.41,104.68,302235,263467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/04/2013,17:00,104.73,105.07,102.35,103.49,355321,256458,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/05/2013,17:00,103.59,103.80,102.14,102.93,267276,235566,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/08/2013,17:00,103.25,103.98,102.69,103.59,212117,212856,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/09/2013,17:00,103.72,104.71,103.09,104.43,234720,187860,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/10/2013,17:00,104.19,105.05,103.63,104.87,248557,159036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.52,0.00,0.00,0.00
