#,Signal,Date,OpenPrice,Exit Date/Time,OpenExitPrice
1,Buy,5/28/2013 0:00,103.54,5/30/2013 0:00,102.54
2,Short,5/30/2013 0:00,102.54,6/7/2013 0:00,104.37
3,Buy,6/7/2013 0:00,104.37,6/24/2013 0:00,103.23
4,Short,6/24/2013 0:00,103.23,6/28/2013 0:00,106.19
5,Buy,6/28/2013 0:00,106.19,7/31/2013 0:00,112.66
6,Short,7/31/2013 0:00,112.66,8/1/2013 0:00,114.77
7,Buy,8/1/2013 0:00,114.77,8/8/2013 0:00,113.69
8,Short,8/8/2013 0:00,113.69,8/13/2013 0:00,115.66
9,Buy,8/13/2013 0:00,115.66,8/22/2013 0:00,113.51
10,Short,8/22/2013 0:00,113.51,8/26/2013 0:00,116.56
11,Buy,8/26/2013 0:00,116.56,9/17/2013 0:00,115.87
12,Short,9/17/2013 0:00,115.87,12/4/2013 0:00,106.3
13,Buy,12/4/2013 0:00,106.3,1/3/2014 0:00,104.58
14,Short,1/3/2014 0:00,104.58,1/23/2014 0:00,105.66
15,Buy,1/23/2014 0:00,105.66,3/11/2014 0:00,110.24
16,Short,3/11/2014 0:00,110.24,3/27/2014 0:00,110.42
17,Buy,3/27/2014 0:00,110.42,4/28/2014 0:00,111.54
18,Short,4/28/2014 0:00,111.54,5/14/2014 0:00,112.96
19,Buy,5/14/2014 0:00,112.96,7/3/2014 0:00,116.18
20,Short,7/3/2014 0:00,116.18,7/23/2014 0:00,115.05
21,Buy,7/23/2014 0:00,115.05,7/29/2014 0:00,114.69
22,Short,7/29/2014 0:00,114.69,9/4/2014 0:00,110.19
23,Buy,9/4/2014 0:00,110.19,9/5/2014 0:00,109.69
24,Short,9/5/2014 0:00,109.69,9/18/2014 0:00,109.16
25,Buy,9/18/2014 0:00,109.16,9/19/2014 0:00,108.3
26,Short,9/19/2014 0:00,108.3,9/25/2014 0:00,109.23
27,Buy,9/25/2014 0:00,109.23,10/2/2014 0:00,107.08
28,Short,10/2/2014 0:00,107.08,2/3/2015 0:00,66.05
29,Buy,2/3/2015 0:00,66.05,2/24/2015 0:00,65
30,Short,2/24/2015 0:00,65,3/5/2015 0:00,67.2
31,Buy,3/5/2015 0:00,67.2,3/6/2015 0:00,66.47
32,Short,3/6/2015 0:00,66.47,3/27/2015 0:00,64.6
33,Buy,3/27/2015 0:00,64.6,5/20/2015 0:00,69.55
34,Short,5/20/2015 0:00,69.55,6/3/2015 0:00,72.25
35,Buy,6/3/2015 0:00,72.25,6/5/2015 0:00,69.22
36,Short,6/5/2015 0:00,69.22,6/10/2015 0:00,71.81
37,Buy,6/10/2015 0:00,71.81,6/26/2015 0:00,70.48
38,Short,6/26/2015 0:00,70.48,9/1/2015 0:00,58.06
39,Buy,9/1/2015 0:00,58.06,9/28/2015 0:00,55.04
40,Short,9/28/2015 0:00,55.04,10/5/2015 0:00,55.31
41,Buy,10/5/2015 0:00,55.31,10/20/2015 0:00,55.68
42,Short,10/20/2015 0:00,55.68,11/4/2015 0:00,56.85
43,Buy,11/4/2015 0:00,56.85,11/6/2015 0:00,54.52
44,Short,11/6/2015 0:00,54.52,2/1/2016 0:00,39.69
45,Buy,2/1/2016 0:00,39.69,2/2/2016 0:00,37.23
46,Short,2/2/2016 0:00,37.23,2/26/2016 0:00,36.74
47,Buy,2/26/2016 0:00,36.74,3/31/2016 0:00,40.54
48,Short,3/31/2016 0:00,40.54,4/12/2016 0:00,42.59
49,Buy,4/12/2016 0:00,42.59,6/15/2016 0:00,48.11
50,Short,6/15/2016 0:00,48.11,8/12/2016 0:00,42.44
51,Buy,8/12/2016 0:00,42.44,9/1/2016 0:00,43.1
52,Short,9/1/2016 0:00,43.1,9/29/2016 0:00,44.84
53,Buy,9/29/2016 0:00,44.84,10/27/2016 0:00,46.43
54,Short,10/27/2016 0:00,46.43,11/22/2016 0:00,45.05
55,Buy,11/22/2016 0:00,45.05,1/10/2017 0:00,47.44
56,Short,1/10/2017 0:00,47.44,2/2/2017 0:00,48.4
57,Buy,2/2/2017 0:00,48.4,2/8/2017 0:00,46.47
58,Short,2/8/2017 0:00,46.47,2/13/2017 0:00,48.63
59,Buy,2/13/2017 0:00,48.63,3/3/2017 0:00,47.02
60,Short,3/3/2017 0:00,47.02,4/3/2017 0:00,44.64
61,Buy,4/3/2017 0:00,44.64,4/21/2017 0:00,44.2
62,Short,4/21/2017 0:00,44.2,5/18/2017 0:00,42.4
63,Buy,5/18/2017 0:00,42.4,6/1/2017 0:00,41.78
64,Short,6/1/2017 0:00,41.78,7/3/2017 0:00,39.21
65,Buy,7/3/2017 0:00,39.21,8/15/2017 0:00,40.21
66,Short,8/15/2017 0:00,40.21,9/6/2017 0:00,41.16
67,Buy,9/6/2017 0:00,41.16,10/6/2017 0:00,42.77
68,Short,10/6/2017 0:00,42.77,10/13/2017 0:00,42.75
69,Buy,10/13/2017 0:00,42.75,12/7/2017 0:00,47.6
70,Short,12/7/2017 0:00,47.6,12/11/2017 0:00,48.85
71,Buy,12/11/2017 0:00,48.85,12/14/2017 0:00,48.3
72,Short,12/14/2017 0:00,48.3,12/19/2017 0:00,48.9
73,Buy,12/19/2017 0:00,48.9,2/7/2018 0:00,55.53
74,Short,2/7/2018 0:00,55.53,2/26/2018 0:00,55.38
75,Buy,2/26/2018 0:00,55.38,3/2/2018 0:00,53.12
76,Short,3/2/2018 0:00,53.12,3/6/2018 0:00,54.36
77,Buy,3/6/2018 0:00,54.36,3/8/2018 0:00,53.11
78,Short,3/8/2018 0:00,53.11,3/20/2018 0:00,53.92
79,Buy,3/20/2018 0:00,53.92,4/6/2018 0:00,55.42
80,Short,4/6/2018 0:00,55.42,4/11/2018 0:00,57.31
81,Buy,4/11/2018 0:00,57.31,5/29/2018 0:00,59.2
82,Short,5/29/2018 0:00,59.2,6/25/2018 0:00,60.61
83,Buy,6/25/2018 0:00,60.61,7/16/2018 0:00,62.38
84,Short,7/16/2018 0:00,62.38,7/31/2018 0:00,62.83
85,Buy,7/31/2018 0:00,62.83,8/1/2018 0:00,61.21
86,Short,8/1/2018 0:00,61.21,8/24/2018 0:00,61.26
87,Buy,8/24/2018 0:00,61.26,10/12/2018 0:00,64.58
