 ,#,Signal,Date,Close2ClosePrice,Exit Date/Time,CloseExitPrice,Profit/Loss,OpenPrice,OpenExitPrice
0,1,Buy,5/28/2013 0:00,104.66,5/30/2013 0:00,103.26,-14000,103.54,102.54
1,2,Short,5/30/2013 0:00,103.26,6/7/2013 0:00,105.68,-24200,102.54,104.37
2,3,Buy,6/7/2013 0:00,105.68,6/24/2013 0:00,104.56,-11200,104.37,103.23
3,4,Short,6/24/2013 0:00,104.56,6/28/2013 0:00,105.94,-13800,103.23,106.19
4,5,Buy,6/28/2013 0:00,105.94,7/31/2013 0:00,114.54,86000,106.19,112.66
5,6,Short,7/31/2013 0:00,114.54,8/1/2013 0:00,117.4,-28600,112.66,114.77
6,7,Buy,8/1/2013 0:00,117.4,8/8/2013 0:00,112.91,-44900,114.77,113.69
7,8,Short,8/8/2013 0:00,112.91,8/13/2013 0:00,116.34,-34300,113.69,115.66
8,9,Buy,8/13/2013 0:00,116.34,8/22/2013 0:00,114.68,-16600,115.66,113.51
9,10,Short,8/22/2013 0:00,114.68,8/26/2013 0:00,115.57,-8900,113.51,116.56
10,11,Buy,8/26/2013 0:00,115.57,9/17/2013 0:00,115.07,-5000,116.56,115.87
11,12,Short,9/17/2013 0:00,115.07,12/4/2013 0:00,106.6,84700,115.87,106.3
12,13,Buy,12/4/2013 0:00,106.6,1/3/2014 0:00,103.07,-35300,106.3,104.58
13,14,Short,1/3/2014 0:00,103.07,1/23/2014 0:00,106.29,-32200,104.58,105.66
14,15,Buy,1/23/2014 0:00,106.29,3/11/2014 0:00,109.33,30400,105.66,110.24
15,16,Short,3/11/2014 0:00,109.33,3/27/2014 0:00,111.4,-20700,110.24,110.42
16,17,Buy,3/27/2014 0:00,111.4,4/28/2014 0:00,111.89,4900,110.42,111.54
17,18,Short,4/28/2014 0:00,111.89,5/14/2014 0:00,113.42,-15300,111.54,112.96
18,19,Buy,5/14/2014 0:00,113.42,7/3/2014 0:00,115.97,25500,112.96,116.18
19,20,Short,7/3/2014 0:00,115.97,7/23/2014 0:00,116.21,-2400,116.18,115.05
20,21,Buy,7/23/2014 0:00,116.21,7/29/2014 0:00,114.06,-21500,115.05,114.69
21,22,Short,7/29/2014 0:00,114.06,9/4/2014 0:00,109.57,44900,114.69,110.19
22,23,Buy,9/4/2014 0:00,109.57,9/5/2014 0:00,108.41,-11600,110.19,109.69
23,24,Short,9/5/2014 0:00,108.41,9/18/2014 0:00,108.32,900,109.69,109.16
24,25,Buy,9/18/2014 0:00,108.32,9/19/2014 0:00,107.99,-3300,109.16,108.3
25,26,Short,9/19/2014 0:00,107.99,9/25/2014 0:00,108.87,-8800,108.3,109.23
26,27,Buy,9/25/2014 0:00,108.87,10/2/2014 0:00,107.35,-15200,109.23,107.08
27,28,Short,10/2/2014 0:00,107.35,2/3/2015 0:00,69.31,380400,107.08,66.05
28,29,Buy,2/3/2015 0:00,69.31,2/24/2015 0:00,64.86,-44500,66.05,65
29,30,Short,2/24/2015 0:00,64.86,3/5/2015 0:00,66.34,-14800,65,67.2
30,31,Buy,3/5/2015 0:00,66.34,3/6/2015 0:00,65.19,-11500,67.2,66.47
31,32,Short,3/6/2015 0:00,65.19,3/27/2015 0:00,62.46,27300,66.47,64.6
32,33,Buy,3/27/2015 0:00,62.46,5/20/2015 0:00,70.21,77500,64.6,69.55
33,34,Short,5/20/2015 0:00,70.21,6/3/2015 0:00,70.87,-6600,69.55,72.25
34,35,Buy,6/3/2015 0:00,70.87,6/5/2015 0:00,70.36,-5100,72.25,69.22
35,36,Short,6/5/2015 0:00,70.36,6/10/2015 0:00,72.66,-23000,69.22,71.81
36,37,Buy,6/10/2015 0:00,72.66,6/26/2015 0:00,70.45,-22100,71.81,70.48
37,38,Short,6/26/2015 0:00,70.45,9/1/2015 0:00,55.37,150800,70.48,58.06
38,39,Buy,9/1/2015 0:00,55.37,9/28/2015 0:00,54.09,-12800,58.06,55.04
39,40,Short,9/28/2015 0:00,54.09,10/5/2015 0:00,55.92,-18300,55.04,55.31
40,41,Buy,10/5/2015 0:00,55.92,10/20/2015 0:00,55.4,-5200,55.31,55.68
41,42,Short,10/20/2015 0:00,55.4,11/4/2015 0:00,55.43,-300,55.68,56.85
42,43,Buy,11/4/2015 0:00,55.43,11/6/2015 0:00,53.4,-20300,56.85,54.52
43,44,Short,11/6/2015 0:00,53.4,2/1/2016 0:00,37.48,159200,54.52,39.69
