Date,Equity
11/14/2007,$562.50 
11/15/2007,"$5,062.50 "
11/16/2007,"$6,637.50 "
11/21/2007,"$2,187.50 "
11/26/2007,"$5,012.50 "
11/27/2007,"$6,537.50 "
11/28/2007,"$10,287.50 "
11/29/2007,"$14,587.50 "
11/30/2007,"$12,562.50 "
12/3/2007,"$11,662.50 "
12/4/2007,"$12,187.50 "
12/7/2007,"$16,737.50 "
12/10/2007,"$16,262.50 "
12/11/2007,"$16,512.50 "
12/12/2007,"$18,337.50 "
12/13/2007,"$17,337.50 "
12/19/2007,"$16,487.50 "
12/20/2007,"$15,687.50 "
12/24/2007,"$19,437.50 "
12/26/2007,"$22,412.50 "
12/28/2007,"$23,187.50 "
12/31/2007,"$22,387.50 "
1/2/2008,"$18,687.50 "
1/4/2008,"$14,562.50 "
1/7/2008,"$15,312.50 "
1/8/2008,"$9,612.50 "
1/9/2008,"$8,712.50 "
1/11/2008,"$7,612.50 "
1/14/2008,"$8,062.50 "
1/15/2008,"$5,512.50 "
1/16/2008,"$7,237.50 "
1/17/2008,"$4,437.50 "
1/18/2008,"$7,050.00 "
1/22/2008,"$9,250.00 "
1/23/2008,"$10,750.00 "
1/25/2008,"$18,387.50 "
1/28/2008,"$18,187.50 "
1/29/2008,"$20,937.50 "
1/30/2008,"$19,262.50 "
2/4/2008,"$23,862.50 "
2/5/2008,"$25,362.50 "
2/6/2008,"$27,750.00 "
2/8/2008,"$25,200.00 "
2/11/2008,"$25,425.00 "
2/14/2008,"$30,825.00 "
2/15/2008,"$32,650.00 "
2/20/2008,"$28,250.00 "
2/21/2008,"$25,350.00 "
2/22/2008,"$26,325.00 "
2/27/2008,"$29,425.00 "
2/28/2008,"$30,600.00 "
3/4/2008,"$27,650.00 "
3/6/2008,"$23,600.00 "
3/7/2008,"$24,675.00 "
3/10/2008,"$22,425.00 "
3/11/2008,"$21,025.00 "
3/12/2008,"$25,025.00 "
3/13/2008,"$26,525.00 "
3/14/2008,"$26,737.50 "
3/19/2008,"$30,487.50 "
3/20/2008,"$34,637.50 "
3/24/2008,"$38,387.50 "
3/25/2008,"$41,312.50 "
3/26/2008,"$41,462.50 "
3/31/2008,"$41,737.50 "
4/1/2008,"$45,487.50 "
4/2/2008,"$49,812.50 "
4/3/2008,"$49,962.50 "
4/4/2008,"$49,062.50 "
4/7/2008,"$48,162.50 "
4/9/2008,"$48,512.50 "
4/11/2008,"$44,662.50 "
4/14/2008,"$45,912.50 "
4/17/2008,"$52,062.50 "
4/18/2008,"$49,387.50 "
4/21/2008,"$48,637.50 "
4/29/2008,"$51,087.50 "
5/2/2008,"$52,287.50 "
5/6/2008,"$52,512.50 "
5/7/2008,"$50,962.50 "
5/8/2008,"$52,387.50 "
5/9/2008,"$50,287.50 "
5/12/2008,"$50,137.50 "
5/13/2008,"$51,537.50 "
5/14/2008,"$49,987.50 "
5/15/2008,"$49,287.50 "
5/16/2008,"$47,862.50 "
5/19/2008,"$45,512.50 "
5/20/2008,"$46,712.50 "
5/21/2008,"$44,412.50 "
5/22/2008,"$44,862.50 "
5/23/2008,"$42,262.50 "
5/27/2008,"$42,437.50 "
5/28/2008,"$42,987.50 "
6/3/2008,"$43,737.50 "
6/4/2008,"$40,087.50 "
6/6/2008,"$41,287.50 "
6/9/2008,"$43,012.50 "
6/16/2008,"$43,862.50 "
6/18/2008,"$45,612.50 "
6/20/2008,"$42,012.50 "
6/23/2008,"$42,737.50 "
6/24/2008,"$40,187.50 "
6/26/2008,"$36,062.50 "
6/27/2008,"$37,187.50 "
7/1/2008,"$34,087.50 "
7/2/2008,"$31,687.50 "
7/3/2008,"$33,012.50 "
7/7/2008,"$31,912.50 "
7/8/2008,"$31,287.50 "
7/9/2008,"$28,937.50 "
7/10/2008,"$28,862.50 "
7/11/2008,"$27,837.50 "
7/16/2008,"$26,987.50 "
7/17/2008,"$30,737.50 "
7/18/2008,"$34,287.50 "
7/21/2008,"$33,112.50 "
7/22/2008,"$31,362.50 "
7/25/2008,"$32,087.50 "
7/28/2008,"$30,937.50 "
7/29/2008,"$31,462.50 "
7/30/2008,"$35,362.50 "
8/1/2008,"$37,237.50 "
8/6/2008,"$39,637.50 "
8/11/2008,"$41,537.50 "
8/13/2008,"$42,987.50 "
8/15/2008,"$43,437.50 "
8/19/2008,"$44,937.50 "
8/21/2008,"$46,300.00 "
8/26/2008,"$46,750.00 "
8/29/2008,"$51,900.00 "
9/2/2008,"$51,050.00 "
9/3/2008,"$47,000.00 "
9/9/2008,"$46,025.00 "
