Date,Equity,PortBalance,Return
11/14/2007,562.5,100562.5,0.005625
11/15/2007,5062.5,105062.5,0.044748291
11/16/2007,6637.5,106637.5,0.014991077
11/17/2007,6637.5,106637.5,0
11/18/2007,6637.5,106637.5,0
11/19/2007,6637.5,106637.5,0
11/20/2007,6637.5,106637.5,0
11/21/2007,2187.5,102187.5,-0.041730161
11/22/2007,1262.5,101262.5,-0.009051988
11/23/2007,1262.5,101262.5,0
11/24/2007,1262.5,101262.5,0
11/25/2007,1262.5,101262.5,0
11/26/2007,5012.5,105012.5,0.037032465
11/27/2007,6537.5,106537.5,0.014522081
11/28/2007,10287.5,110287.5,0.035198874
11/29/2007,14587.5,114587.5,0.038989006
11/30/2007,12562.5,112562.5,-0.017672085
12/1/2007,12562.5,112562.5,0
12/2/2007,12562.5,112562.5,0
12/3/2007,11662.5,111662.5,-0.007995558
12/4/2007,12187.5,112187.5,0.004701668
12/5/2007,12187.5,112187.5,0
12/6/2007,12187.5,112187.5,0
12/7/2007,16737.5,116737.5,0.040557103
12/8/2007,16737.5,116737.5,0
12/9/2007,16737.5,116737.5,0
12/10/2007,16262.5,116262.5,-0.004068958
12/11/2007,16512.5,116512.5,0.002150306
12/12/2007,18337.5,118337.5,0.015663555
12/13/2007,17337.5,117337.5,-0.008450407
12/14/2007,17337.5,117337.5,0
12/15/2007,17337.5,117337.5,0
12/16/2007,17337.5,117337.5,0
12/17/2007,17337.5,117337.5,0
12/18/2007,17337.5,117337.5,0
12/19/2007,16487.5,116487.5,-0.007244061
12/20/2007,15687.5,115687.5,-0.00686769
12/21/2007,15687.5,115687.5,0
12/22/2007,15687.5,115687.5,0
12/23/2007,15687.5,115687.5,0
12/24/2007,19437.5,119437.5,0.032414911
12/25/2007,19437.5,119437.5,0
12/26/2007,22412.5,122412.5,0.024908425
12/27/2007,22412.5,122412.5,0
12/28/2007,23187.5,123187.5,0.006331053
12/29/2007,23187.5,123187.5,0
12/30/2007,23187.5,123187.5,0
12/31/2007,22387.5,122387.5,-0.006494165
1/1/2008,22087.5,122087.5,-0.002451231
1/2/2008,18687.5,118687.5,-0.027848879
1/3/2008,18662.5,118662.5,-0.000210637
1/4/2008,14562.5,114562.5,-0.034551775
1/5/2008,14562.5,114562.5,0
1/6/2008,14562.5,114562.5,0
1/7/2008,15312.5,115312.5,0.006546645
1/8/2008,9612.5,109612.5,-0.049430894
1/9/2008,8712.5,108712.5,-0.008210742
1/10/2008,8712.5,108712.5,0
1/11/2008,7612.5,107612.5,-0.010118432
1/12/2008,7612.5,107612.5,0
1/13/2008,7612.5,107612.5,0
1/14/2008,8062.5,108062.5,0.00418167
1/15/2008,5512.5,105512.5,-0.023597455
1/16/2008,7237.5,107237.5,0.016348774
1/17/2008,4437.5,104437.5,-0.026110269
1/18/2008,7050,107050,0.025014961
1/19/2008,6000,106000,-0.009808501
1/20/2008,6000,106000,0
1/21/2008,6000,106000,0
1/22/2008,9250,109250,0.030660377
1/23/2008,10750,110750,0.013729977
1/24/2008,14987.5,114987.5,0.038261851
1/25/2008,18387.5,118387.5,0.029568431
1/26/2008,18387.5,118387.5,0
1/27/2008,18387.5,118387.5,0
1/28/2008,18187.5,118187.5,-0.001689368
1/29/2008,20937.5,120937.5,0.023268112
1/30/2008,19262.5,119262.5,-0.013850129
1/31/2008,19262.5,119262.5,0
2/1/2008,19262.5,119262.5,0
2/2/2008,19262.5,119262.5,0
2/3/2008,19262.5,119262.5,0
2/4/2008,23862.5,123862.5,0.03857038
2/5/2008,25362.5,125362.5,0.012110203
2/6/2008,27750,127750,0.01904477
2/7/2008,27750,127750,0
2/8/2008,25200,125200,-0.019960861
2/9/2008,25200,125200,0
2/10/2008,25200,125200,0
2/11/2008,25425,125425,0.001797125
2/12/2008,25425,125425,0
2/13/2008,25425,125425,0
2/14/2008,30825,130825,0.043053618
2/15/2008,32650,132650,0.013949933
2/16/2008,32650,132650,0
2/17/2008,32650,132650,0
2/18/2008,32650,132650,0
2/19/2008,32650,132650,0
2/20/2008,28250,128250,-0.033169996
2/21/2008,25350,125350,-0.022612086
2/22/2008,26325,126325,0.007778221
2/23/2008,26325,126325,0
2/24/2008,26325,126325,0
2/25/2008,26325,126325,0
2/26/2008,26325,126325,0
2/27/2008,29425,129425,0.024539877
2/28/2008,30600,130600,0.009078617
2/29/2008,30600,130600,0
3/1/2008,30600,130600,0
3/2/2008,30600,130600,0
3/3/2008,30600,130600,0
3/4/2008,27650,127650,-0.022588055
3/5/2008,26600,126600,-0.008225617
3/6/2008,23600,123600,-0.023696682
3/7/2008,24675,124675,0.008697411
3/8/2008,24675,124675,0
3/9/2008,24675,124675,0
3/10/2008,22425,122425,-0.018046922
3/11/2008,21025,121025,-0.011435573
3/12/2008,25025,125025,0.033051023
3/13/2008,26525,126525,0.0119976
3/14/2008,26737.5,126737.5,0.00167951
3/15/2008,26737.5,126737.5,0
3/16/2008,26737.5,126737.5,0
3/17/2008,26737.5,126737.5,0
3/18/2008,26737.5,126737.5,0
3/19/2008,30487.5,130487.5,0.029588717
3/20/2008,34637.5,134637.5,0.031803813
3/21/2008,34637.5,134637.5,0
3/22/2008,34637.5,134637.5,0
3/23/2008,34637.5,134637.5,0
3/24/2008,38387.5,138387.5,0.027852567
3/25/2008,41312.5,141312.5,0.021136302
3/26/2008,41462.5,141462.5,0.001061477
3/27/2008,41462.5,141462.5,0
3/28/2008,41462.5,141462.5,0
3/29/2008,41462.5,141462.5,0
3/30/2008,41462.5,141462.5,0
3/31/2008,41737.5,141737.5,0.001943978
4/1/2008,45487.5,145487.5,0.02645736
4/2/2008,49812.5,149812.5,0.02972764
4/3/2008,49962.5,149962.5,0.001001252
4/4/2008,49062.5,149062.5,-0.0060015
4/5/2008,49062.5,149062.5,0
4/6/2008,49062.5,149062.5,0
4/7/2008,48162.5,148162.5,-0.006037736
4/8/2008,48162.5,148162.5,0
4/9/2008,48512.5,148512.5,0.002362271
4/10/2008,48512.5,148512.5,0
4/11/2008,44662.5,144662.5,-0.025923744
4/12/2008,44662.5,144662.5,0
4/13/2008,44662.5,144662.5,0
4/14/2008,45912.5,145912.5,0.008640802
4/15/2008,45912.5,145912.5,0
4/16/2008,45912.5,145912.5,0
