#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
1,Buy,4/10/2013 11:00,Easy_LE,@ES,"$1,497.00 ",$0.00 ,4,$900.00 ,0.30%,"$1,250.00 ",83.33%,,$0.00 ,$0.00 
,Sell,4/11/2013 10:00,_LX..,@ES,"$1,501.50 ",,$900.00 ,$900.00 ,,($250.00),76.67%,60.00%,$0.00 ,$0.00 
2,Buy,4/16/2013 11:30,Easy_LE,@ES,"$1,479.50 ",$0.00 ,4,"($1,350.00)",-0.46%,"$1,800.00 ",48.00%,,$0.00 ,$0.00 
,Sell,4/17/2013 10:00,_LX..,@ES,"$1,472.75 ",,"($1,350.00)",($450.00),,"($1,950.00)",16.00%,-36.00%,$0.00 ,$0.00 
3,Buy,4/18/2013 14:00,Easy_LE,@ES,"$1,457.50 ",$0.00 ,4,"$2,200.00 ",0.75%,"$3,100.00 ",63.27%,,$0.00 ,$0.00 
,Sell,4/22/2013 10:00,_LX..,@ES,"$1,468.50 ",,"$2,200.00 ","$1,750.00 ",,"($1,800.00)",81.63%,44.90%,$0.00 ,$0.00 
4,Buy,4/29/2013 12:30,Easy_LE,@ES,"$1,507.25 ",$0.00 ,4,"($1,200.00)",-0.40%,$550.00 ,29.73%,,$0.00 ,$0.00 
,Sell,4/30/2013 10:00,_LX..,@ES,"$1,501.25 ",,"($1,200.00)",$550.00 ,,"($1,300.00)",5.41%,-64.86%,$0.00 ,$0.00 
5,Buy,4/30/2013 13:30,Easy_LE,@ES,"$1,508.50 ",$0.00 ,4,($750.00),-0.25%,$350.00 ,26.92%,,$0.00 ,$0.00 
,Sell,5/1/2013 10:00,Easy_SX,@ES,"$1,504.75 ",,($750.00),($200.00),,($950.00),15.38%,-57.69%,$0.00 ,$0.00 
6,Buy,5/2/2013 12:00,Easy_LE,@ES,"$1,510.25 ",$0.00 ,4,"$3,450.00 ",1.14%,"$4,350.00 ",90.63%,,$0.00 ,$0.00 
,Sell,5/6/2013 10:00,_LX..,@ES,"$1,527.50 ",,"$3,450.00 ","$3,250.00 ",,($450.00),81.25%,71.88%,$0.00 ,$0.00 
7,Buy,5/7/2013 14:00,Easy_LE,@ES,"$1,538.50 ",$0.00 ,4,$800.00 ,0.26%,"$1,050.00 ",70.00%,,$0.00 ,$0.00 
,Sell,5/8/2013 11:00,Easy_SX,@ES,"$1,542.50 ",,$800.00 ,"$4,050.00 ",,($450.00),83.33%,53.33%,$0.00 ,$0.00 
8,Buy,5/10/2013 15:30,Easy_LE,@ES,"$1,543.75 ",$0.00 ,4,($350.00),-0.11%,$800.00 ,59.26%,,$0.00 ,$0.00 
,Sell,5/13/2013 10:00,_LX..,@ES,"$1,542.00 ",,($350.00),"$3,700.00 ",,($550.00),14.81%,-25.93%,$0.00 ,$0.00 
9,Buy,5/14/2013 11:30,Easy_LE,@ES,"$1,561.75 ",$0.00 ,4,$450.00 ,0.14%,$950.00 ,76.00%,,$0.00 ,$0.00 
,Sell,5/15/2013 10:00,_LX..,@ES,"$1,564.00 ",,$450.00 ,"$4,150.00 ",,($300.00),60.00%,36.00%,$0.00 ,$0.00 
10,Buy,5/17/2013 11:00,Easy_LE,@ES,"$1,573.00 ",$0.00 ,4,"$1,400.00 ",0.45%,"$3,100.00 ",88.57%,,$0.00 ,$0.00 
,Sell,5/21/2013 10:30,Easy_SX,@ES,"$1,580.00 ",,"$1,400.00 ","$5,550.00 ",,($400.00),51.43%,40.00%,$0.00 ,$0.00 
11,Buy,5/22/2013 11:00,Easy_LE,@ES,"$1,589.75 ",$0.00 ,4,"($2,850.00)",-0.90%,"$1,950.00 ",36.79%,,$0.00 ,$0.00 
,Sell,5/22/2013 14:30,_LX..,@ES,"$1,575.50 ",,"($2,850.00)","$2,700.00 ",,"($3,350.00)",9.43%,-53.77%,$0.00 ,$0.00 
12,Buy,5/28/2013 10:00,Easy_LE,@ES,"$1,587.75 ",$0.00 ,4,"($4,400.00)",-1.39%,$550.00 ,9.65%,,$0.00 ,$0.00 
,Sell,5/29/2013 10:00,_LX..,@ES,"$1,565.75 ",,"($4,400.00)","($1,700.00)",,"($5,150.00)",13.16%,-77.19%,$0.00 ,$0.00 
13,Buy,5/30/2013 12:00,Easy_LE,@ES,"$1,575.25 ",$0.00 ,4,"($1,350.00)",-0.43%,$650.00 ,21.31%,,$0.00 ,$0.00 
,Sell,5/31/2013 10:00,_LX..,@ES,"$1,568.50 ",,"($1,350.00)","($3,050.00)",,"($2,400.00)",34.43%,-44.26%,$0.00 ,$0.00 
14,Buy,6/4/2013 10:30,Easy_LE,@ES,"$1,561.00 ",$0.00 ,4,"($3,450.00)",-1.11%,$500.00 ,10.31%,,$0.00 ,$0.00 
,Sell,6/4/2013 14:30,c_LX...,@ES,"$1,543.75 ",,"($3,450.00)","($6,500.00)",,"($4,350.00)",18.56%,-71.13%,$0.00 ,$0.00 
15,Buy,6/6/2013 11:00,Easy_LE,@ES,"$1,528.75 ",$0.00 ,2,"$3,100.00 ",2.03%,"$3,750.00 ",72.12%,,$0.00 ,$0.00 
,Sell,6/10/2013 10:00,_LX..,@ES,"$1,559.75 ",,"$3,100.00 ","($3,400.00)",,"($1,450.00)",87.50%,59.62%,$0.00 ,$0.00 
16,Buy,6/6/2013 11:00,Easy_LE,@ES,"$1,528.75 ",$0.00 ,2,"$3,625.00 ",2.37%,"$3,625.00 ",71.43%,,$0.00 ,$0.00 
,Sell,6/10/2013 10:00,T1_LX...,@ES,"$1,565.00 ",,"$3,625.00 ",$225.00 ,,"($1,450.00)",100.00%,71.43%,$0.00 ,$0.00 
17,Buy,6/13/2013 11:30,Easy_LE,@ES,"$1,536.00 ",$0.00 ,4,"$2,350.00 ",0.76%,"$4,550.00 ",91.00%,,$0.00 ,$0.00 
,Sell,6/14/2013 11:00,_LX..,@ES,"$1,547.75 ",,"$2,350.00 ","$2,575.00 ",,($450.00),56.00%,47.00%,$0.00 ,$0.00 
18,Buy,6/21/2013 14:00,Easy_LE,@ES,"$1,504.00 ",$0.00 ,4,"($3,950.00)",-1.31%,"$2,350.00 ",36.15%,,$0.00 ,$0.00 
,Sell,6/24/2013 10:00,_LX..,@ES,"$1,484.25 ",,"($3,950.00)","($1,375.00)",,"($4,150.00)",3.08%,-60.77%,$0.00 ,$0.00 
19,Buy,6/25/2013 11:00,Easy_LE,@ES,"$1,503.50 ",$0.00 ,4,"$3,200.00 ",1.06%,"$6,900.00 ",89.61%,,$0.00 ,$0.00 
,Sell,6/28/2013 10:00,_LX..,@ES,"$1,519.50 ",,"$3,200.00 ","$1,825.00 ",,($800.00),51.95%,41.56%,$0.00 ,$0.00 
20,Buy,7/8/2013 10:30,Easy_LE,@ES,"$1,560.50 ",$0.00 ,4,"$2,100.00 ",0.67%,"$2,450.00 ",69.01%,,$0.00 ,$0.00 
,Sell,7/10/2013 10:00,_LX..,@ES,"$1,571.00 ",,"$2,100.00 ","$3,925.00 ",,"($1,100.00)",90.14%,59.15%,$0.00 ,$0.00 
21,Buy,7/11/2013 11:00,Easy_LE,@ES,"$1,587.75 ",$0.00 ,4,"$1,100.00 ",0.35%,"$1,550.00 ",88.57%,,$0.00 ,$0.00 
,Sell,7/12/2013 10:00,_LX..,@ES,"$1,593.25 ",,"$1,100.00 ","$5,025.00 ",,($200.00),74.29%,62.86%,$0.00 ,$0.00 
