 ,#,Signal,Date,Price,Exit Date/Time,ExitPrice,Profit/Loss,Open_x,Open_y
0,1.0,Buy,2013-05-28 00:00:00,104.66,2013-05-30 00:00:00,103.26,-14000.0,103.54,102.54
1,2.0,Short,2013-05-30 00:00:00,103.26,2013-06-07 00:00:00,105.68,-24200.0,102.54,104.37
2,3.0,Buy,2013-06-07 00:00:00,105.68,2013-06-24 00:00:00,104.56,-11200.0,104.37,103.23
3,4.0,Short,2013-06-24 00:00:00,104.56,2013-06-28 00:00:00,105.94,-13800.0,103.23,106.19
4,5.0,Buy,2013-06-28 00:00:00,105.94,2013-07-31 00:00:00,114.54,86000.0,106.19,112.66
5,6.0,Short,2013-07-31 00:00:00,114.54,2013-08-01 00:00:00,117.4,-28600.0,112.66,114.77
6,7.0,Buy,2013-08-01 00:00:00,117.4,2013-08-08 00:00:00,112.91,-44900.0,114.77,113.69
7,8.0,Short,2013-08-08 00:00:00,112.91,2013-08-13 00:00:00,116.34,-34300.0,113.69,115.66
8,9.0,Buy,2013-08-13 00:00:00,116.34,2013-08-22 00:00:00,114.68,-16600.0,115.66,113.51
9,10.0,Short,2013-08-22 00:00:00,114.68,2013-08-26 00:00:00,115.57,-8900.0,113.51,116.56
10,11.0,Buy,2013-08-26 00:00:00,115.57,2013-09-17 00:00:00,115.07,-5000.0,116.56,115.87
11,12.0,Short,2013-09-17 00:00:00,115.07,2013-12-04 00:00:00,106.6,84700.0,115.87,106.3
12,13.0,Buy,2013-12-04 00:00:00,106.6,2014-01-03 00:00:00,103.07,-35300.0,106.3,104.58
13,14.0,Short,2014-01-03 00:00:00,103.07,2014-01-23 00:00:00,106.29,-32200.0,104.58,105.66
14,15.0,Buy,2014-01-23 00:00:00,106.29,2014-03-11 00:00:00,109.33,30400.0,105.66,110.24
15,16.0,Short,2014-03-11 00:00:00,109.33,2014-03-27 00:00:00,111.4,-20700.0,110.24,110.42
16,17.0,Buy,2014-03-27 00:00:00,111.4,2014-04-28 00:00:00,111.89,4900.0,110.42,111.54
17,18.0,Short,2014-04-28 00:00:00,111.89,2014-05-14 00:00:00,113.42,-15300.0,111.54,112.96
18,19.0,Buy,2014-05-14 00:00:00,113.42,2014-07-03 00:00:00,115.97,25500.0,112.96,116.18
19,20.0,Short,2014-07-03 00:00:00,115.97,2014-07-23 00:00:00,116.21,-2400.0,116.18,115.05
20,21.0,Buy,2014-07-23 00:00:00,116.21,2014-07-29 00:00:00,114.06,-21500.0,115.05,114.69
21,22.0,Short,2014-07-29 00:00:00,114.06,2014-09-04 00:00:00,109.57,44900.0,114.69,110.19
22,23.0,Buy,2014-09-04 00:00:00,109.57,2014-09-05 00:00:00,108.41,-11600.0,110.19,109.69
23,24.0,Short,2014-09-05 00:00:00,108.41,2014-09-18 00:00:00,108.32,900.0,109.69,109.16
24,25.0,Buy,2014-09-18 00:00:00,108.32,2014-09-19 00:00:00,107.99,-3300.0,109.16,108.3
25,26.0,Short,2014-09-19 00:00:00,107.99,2014-09-25 00:00:00,108.87,-8800.0,108.3,109.23
26,27.0,Buy,2014-09-25 00:00:00,108.87,2014-10-02 00:00:00,107.35,-15200.0,109.23,107.08
27,28.0,Short,2014-10-02 00:00:00,107.35,2015-02-03 00:00:00,69.31,380400.0,107.08,66.05
28,29.0,Buy,2015-02-03 00:00:00,69.31,2015-02-24 00:00:00,64.86,-44500.0,66.05,65.0
29,30.0,Short,2015-02-24 00:00:00,64.86,2015-03-05 00:00:00,66.34,-14800.0,65.0,67.2
30,31.0,Buy,2015-03-05 00:00:00,66.34,2015-03-06 00:00:00,65.19,-11500.0,67.2,66.47
31,32.0,Short,2015-03-06 00:00:00,65.19,2015-03-27 00:00:00,62.46,27300.0,66.47,64.6
32,33.0,Buy,2015-03-27 00:00:00,62.46,2015-05-20 00:00:00,70.21,77500.0,64.6,69.55
33,34.0,Short,2015-05-20 00:00:00,70.21,2015-06-03 00:00:00,70.87,-6600.0,69.55,72.25
34,35.0,Buy,2015-06-03 00:00:00,70.87,2015-06-05 00:00:00,70.36,-5100.0,72.25,69.22
35,36.0,Short,2015-06-05 00:00:00,70.36,2015-06-10 00:00:00,72.66,-23000.0,69.22,71.81
36,37.0,Buy,2015-06-10 00:00:00,72.66,2015-06-26 00:00:00,70.45,-22100.0,71.81,70.48
37,38.0,Short,2015-06-26 00:00:00,70.45,2015-09-01 00:00:00,55.37,150800.0,70.48,58.06
38,39.0,Buy,2015-09-01 00:00:00,55.37,2015-09-28 00:00:00,54.09,-12800.0,58.06,55.04
39,40.0,Short,2015-09-28 00:00:00,54.09,2015-10-05 00:00:00,55.92,-18300.0,55.04,55.31
40,41.0,Buy,2015-10-05 00:00:00,55.92,2015-10-20 00:00:00,55.4,-5200.0,55.31,55.68
41,42.0,Short,2015-10-20 00:00:00,55.4,2015-11-04 00:00:00,55.43,-300.0,55.68,56.85
42,43.0,Buy,2015-11-04 00:00:00,55.43,2015-11-06 00:00:00,53.4,-20300.0,56.85,54.52
43,44.0,Short,2015-11-06 00:00:00,53.4,2016-02-01 00:00:00,37.48,159200.0,54.52,39.69
44,45.0,Buy,2016-02-01 00:00:00,37.48,2016-02-02 00:00:00,35.74,-17400.0,39.69,37.23
45,46.0,Short,2016-02-02 00:00:00,35.74,2016-02-26 00:00:00,36.48,-7400.0,37.23,36.74
46,47.0,Buy,2016-02-26 00:00:00,36.48,2016-03-31 00:00:00,40.58,41000.0,36.74,40.54
47,48.0,Short,2016-03-31 00:00:00,40.58,2016-04-12 00:00:00,44.41,-38300.0,40.54,42.59
48,49.0,Buy,2016-04-12 00:00:00,44.41,2016-06-15 00:00:00,48.22,38100.0,42.59,48.11
49,50.0,Short,2016-06-15 00:00:00,48.22,2016-08-12 00:00:00,43.47,47500.0,48.11,42.44
50,51.0,Buy,2016-08-12 00:00:00,43.47,2016-09-01 00:00:00,41.41,-20600.0,42.44,43.1
51,52.0,Short,2016-09-01 00:00:00,41.41,2016-09-29 00:00:00,45.47,-40600.0,43.1,44.84
52,53.0,Buy,2016-09-29 00:00:00,45.47,2016-10-27 00:00:00,46.93,14600.0,44.84,46.43
53,54.0,Short,2016-10-27 00:00:00,46.93,2016-11-22 00:00:00,44.71,22200.0,46.43,45.05
54,55.0,Buy,2016-11-22 00:00:00,44.71,2017-01-10 00:00:00,46.43,17200.0,45.05,47.44
55,56.0,Short,2017-01-10 00:00:00,46.43,2017-02-02 00:00:00,48.37,-19400.0,47.44,48.4
56,57.0,Buy,2017-02-02 00:00:00,48.37,2017-02-08 00:00:00,47.17,-12000.0,48.4,46.47
57,58.0,Short,2017-02-08 00:00:00,47.17,2017-02-13 00:00:00,47.76,-5900.0,46.47,48.63
58,59.0,Buy,2017-02-13 00:00:00,47.76,2017-03-03 00:00:00,47.77,100.0,48.63,47.02
59,60.0,Short,2017-03-03 00:00:00,47.77,2017-04-03 00:00:00,44.19,35800.0,47.02,44.64
60,61.0,Buy,2017-04-03 00:00:00,44.19,2017-04-21 00:00:00,43.11,-10800.0,44.64,44.2
61,62.0,Short,2017-04-21 00:00:00,43.11,2017-05-18 00:00:00,42.81,3000.0,44.2,42.4
62,63.0,Buy,2017-05-18 00:00:00,42.81,2017-06-01 00:00:00,41.51,-13000.0,42.4,41.78
63,64.0,Short,2017-06-01 00:00:00,41.51,2017-07-03 00:00:00,40.0,15100.0,41.78,39.21
64,65.0,Buy,2017-07-03 00:00:00,40.0,2017-08-15 00:00:00,40.27,2700.0,39.21,40.21
65,66.0,Short,2017-08-15 00:00:00,40.27,2017-09-06 00:00:00,41.73,-14600.0,40.21,41.16
66,67.0,Buy,2017-09-06 00:00:00,41.73,2017-10-06 00:00:00,41.31,-4200.0,41.16,42.77
67,68.0,Short,2017-10-06 00:00:00,41.31,2017-10-13 00:00:00,43.47,-21600.0,42.77,42.75
68,69.0,Buy,2017-10-13 00:00:00,43.47,2017-12-07 00:00:00,48.29,48200.0,42.75,47.6
69,70.0,Short,2017-12-07 00:00:00,48.29,2017-12-11 00:00:00,49.59,-13000.0,47.6,48.85
70,71.0,Buy,2017-12-11 00:00:00,49.59,2017-12-14 00:00:00,48.64,-9500.0,48.85,48.3
71,72.0,Short,2017-12-14 00:00:00,48.64,2017-12-19 00:00:00,49.12,-4800.0,48.3,48.9
72,73.0,Buy,2017-12-19 00:00:00,49.12,2018-02-07 00:00:00,53.4,42800.0,48.9,55.53
73,74.0,Short,2018-02-07 00:00:00,53.4,2018-02-26 00:00:00,55.69,-22900.0,55.53,55.38
74,75.0,Buy,2018-02-26 00:00:00,55.69,2018-03-02 00:00:00,53.03,-26600.0,55.38,53.12
75,76.0,Short,2018-03-02 00:00:00,53.03,2018-03-06 00:00:00,54.38,-13500.0,53.12,54.36
76,77.0,Buy,2018-03-06 00:00:00,54.38,2018-03-08 00:00:00,51.9,-24800.0,54.36,53.11
77,78.0,Short,2018-03-08 00:00:00,51.9,2018-03-20 00:00:00,55.26,-33600.0,53.11,53.92
78,79.0,Buy,2018-03-20 00:00:00,55.26,2018-04-06 00:00:00,53.78,-14800.0,53.92,55.42
79,80.0,Short,2018-04-06 00:00:00,53.78,2018-04-11 00:00:00,58.54,-47600.0,55.42,57.31
80,81.0,Buy,2018-04-11 00:00:00,58.54,2018-05-29 00:00:00,58.38,-1600.0,57.31,59.2
81,82.0,Short,2018-05-29 00:00:00,58.38,2018-06-25 00:00:00,59.94,-15600.0,59.2,60.61
82,83.0,Buy,2018-06-25 00:00:00,59.94,2018-07-16 00:00:00,59.92,-200.0,60.61,62.38
83,84.0,Short,2018-07-16 00:00:00,59.92,2018-07-31 00:00:00,61.54,-16200.0,62.38,62.83
84,85.0,Buy,2018-07-31 00:00:00,61.54,2018-08-01 00:00:00,60.44,-11000.0,62.83,61.21
85,86.0,Short,2018-08-01 00:00:00,60.44,2018-08-24 00:00:00,62.08,-16400.0,61.21,61.26
86,87.0,Buy,2018-08-24 00:00:00,62.08,2018-10-12 00:00:00,64.93,28500.0,61.26,64.58
87,88.0,Short,2018-10-12 00:00:00,64.93,2019-01-08 00:00:00,42.96,219700.0,64.58,41.91
88,89.0,Buy,2019-01-08 00:00:00,42.96,2019-02-11 00:00:00,45.35,23900.0,41.91,45.6
89,90.0,Short,2019-02-11 00:00:00,45.35,2019-02-13 00:00:00,46.84,-14900.0,45.6,46.29
